,BMU,Udist,Ret_x,Ret_y,Cub_x,Cub_y,Cub_z,B_AGB,B_AGP,B_AKL,B_AMS,B_ANK,B_ATH,B_ATL,B_BCN,B_BER,B_BHX,B_BJS,B_BKK,B_BLQ,B_BOM,B_BOS,B_BRE,B_BRU,B_BSL,B_BTS,B_BUD,B_BUE,B_BUH,B_CAI,B_CGN,B_CHI,B_CLT,B_CPH,B_CPT,B_DEL,B_DEN,B_DFW,B_DRS,B_DTM,B_DTT,B_DUS,B_DXB,B_EDI,B_FDH,B_FLR,B_FMO,B_FRA,B_GOJ,B_GOT,B_GRZ,B_GVA,B_HAJ,B_HAM,B_HEL,B_HKG,B_HKT,B_HOQ,B_HOU,B_IEV,B_INN,B_IST,B_IZM,B_JED,B_JKT,B_JNB,B_KMI,B_KUL,B_LAS,B_LAX,B_LEJ,B_LIS,B_LJU,B_LNZ,B_LON,B_LUX,B_LYS,B_MAD,B_MAN,B_MEX,B_MIA,B_MIL,B_MNL,B_MOW,B_MRS,B_MUC,B_NCE,B_NGO,B_NUE,B_NYC,B_ORL,B_OSA,B_OSL,B_PAD,B_PAR,B_PDX,B_PHL,B_PHX,B_PMI,B_PRG,B_RIO,B_ROM,B_RUH,B_SAN,B_SAO,B_SCN,B_SEA,B_SEL,B_SFO,B_SHA,B_SIN,B_SJC,B_SOF,B_STO,B_STR,B_SYD,B_SZG,B_TLS,B_TLV,B_TPE,B_TRN,B_TRS,B_TYO,B_VCE,B_VIE,B_VNO,B_VRN,B_WAS,B_WAW,B_WRO,B_YMQ,B_YTO,B_YVR,B_YYC,B_ZAG,B_ZRH,B_ZWS
1716902,6949,0.49992603,148,34,131,-165,34,0.0,0.0,0.0,0.0,0.0,0.499999,0.0,1.999997,19.499958,0.499999,0.0,9e-06,1.499998,0.0,-2e-06,-1e-06,1.999993,1e-06,0.0,13.999975,0.0,0.499997,0.0,1.499999,1.500002,0.499999,4.500012,0.0,0.0,0.0,0.0,0.999997,0.0,0.0,9.499996,0.0,0.0,0.0,0.0,0.0,30.500058,1.9e-05,0.0,0.499999,1e-06,0.499997,7.000093,0.5,0.0,0.0,0.0,0.0,0.499999,3e-06,2.499996,0.0,0.0,4.1e-05,0.0,0.0,0.0,-2e-06,0.0,0.0,0.0,0.999997,2e-06,1.500008,0.0,0.0,0.999998,0.0,0.0,0.0,0.499998,0.0,3.000005,0.0,44.499915,0.0,0.0,-7e-06,3.999998,0.0,0.0,1.499997,0.0,0.500008,0.0,0.499999,0.0,1.999996,2.999994,2e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.500001,0.999995,2e-06,3.4e-05,0.0,0.0,1.999998,37.999936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3e-05,1.999996,10.000029,0.0,0.0,0.499999,40.99996,0.500005,0.0,2.999994,0.0,0.0,-1e-06,4.500001,1.999996
1717251,8695,0.05423297,94,43,73,-116,43,0.0,0.0,0.0,0.498981,0.0,0.0,0.0,0.0,0.02856,0.49898,0.0,0.0,0.0,0.0,-2e-06,0.006121,0.0,1e-06,0.0,0.997961,0.0,2e-06,0.0,0.012235,0.498982,0.0,1.995924,0.0,0.0,0.0,0.0,0.002041,0.012236,0.0,10.484695,0.0,0.0,0.0,0.0,0.0,5.539764,0.0,0.99796,0.0,1e-06,0.059134,0.519376,0.002038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2e-06,0.498982,0.0,0.0,0.0,0.0,2.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.99796,0.0,-3e-06,0.0,2.556091,0.50102,0.0,0.997957,1.496941,0.0,0.0,1e-06,0.0,0.997964,0.0,0.0,0.0,0.0,-2e-06,0.0,0.00204,0.0,0.0,1e-06,0.0,0.0,0.0,-1e-06,0.0,0.0,0.0,0.0,0.498982,0.999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2e-06,0.0,4.511209,0.0,0.0,0.0,0.0,-1e-06,0.0,0.0,0.0,0.0,-1e-06,2e-06,0.0
1723185,2815,5.058905e-07,14,14,7,-21,14,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,-1e-05,0.0,0.0,0.0,0.0,0.0,-2e-06,-1e-06,0.0,1e-06,0.0,0.0,0.0,2e-06,0.0,2e-06,2.999999,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,4e-06,0.0,0.0,0.0,0.0,0.0,11.999988,0.0,0.0,0.0,1e-06,3e-06,2e-06,2e-06,4.999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999999,3.0,0.0,0.0,0.0,0.0,1.000004,0.0,0.0,0.0,0.0,0.0,1.000001,0.0,0.0,-3e-06,0.0,5.000011,1.0,0.0,-7e-06,2.000003,1.0,0.0,1e-06,0.0,-3e-06,0.0,1.0,0.0,0.0,-2e-06,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,20.999998,0.0,9.000002,2.0,0.0,0.0,3e-06,0.0,0.0,0.0,10.0,1.0,0.0,0.0,2.0,0.0,-5e-06,0.0,0.0,2.0,0.0,-1e-06,0.0,6.000001,0.0,0.0,-1e-06,1.000002,0.0
1738392,1915,0.16581614,114,9,110,-119,9,0.0,0.0,0.0,1.970686,0.0,3e-06,0.0,0.0,1.000011,0.0,0.0,0.970687,0.0,0.0,3e-06,-1e-06,0.0,1e-06,0.0,1.14656,0.0,0.999997,0.0,4.3e-05,0.0,0.0,1.058627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5345,0.029312,0.0,0.0,0.0,0.0,31.087929,0.0,0.322433,0.970687,3.882746,0.970688,1.941387,2e-06,0.97069,0.0,0.0,0.0,0.970686,0.0,0.970686,0.0,0.0,0.970687,1.941374,0.0,0.0,-2e-06,2e-06,0.0,0.97069,1.025928,0.970686,32.091281,0.0,0.0,2e-06,0.0,0.0,0.0,4e-06,0.0,11.648241,0.0,8.850163,1.0,0.0,8e-06,2e-06,0.0,0.0,1e-06,0.0,6e-06,0.0,0.0,2e-06,0.0,0.175875,0.0,0.0,0.029312,0.0,1e-06,0.0,0.0,0.0,-1e-06,0.0,4.853431,0.0,0.0,0.351747,2e-05,0.970688,0.0,0.0,0.029312,0.0,0.0,1e-06,0.970688,0.0,40.205138,0.0,0.0,0.0,0.293123,-1e-06,0.0,0.0,0.0,0.0,-1e-06,2.941385,0.0
1749270,6887,0.07593166,86,34,69,-103,34,0.988969,0.0,0.0,0.988969,8.9e-05,0.000134,0.0,0.999954,1.19784,0.0,0.0,1.988923,0.0,0.0,-2e-06,-1e-06,9.3e-05,1e-06,0.0,0.066009,0.0,2e-06,4.6e-05,27.702241,1.977938,0.0,0.087935,0.0,0.0,4.4e-05,0.0,0.000268,0.032959,0.0,12.373002,0.0,0.0,0.0,0.0,0.0,21.977813,0.0,0.010986,4.5e-05,1.978074,1.978027,3.9e-05,2e-06,0.011122,0.0,0.0,0.0,4.5e-05,0.0,0.000224,0.0,0.0,0.022017,0.010988,0.0,0.0,4.5e-05,0.0,0.03296,0.010987,0.0,0.0,1.999914,0.0,0.0,0.0,0.0,0.0,0.0,0.999954,0.0,0.000219,0.0,30.955448,0.988969,0.0,-7e-06,0.98897,0.0,0.0,0.010986,0.0,1.978026,0.0,0.0,0.0,4.5e-05,0.010984,0.0,1.977938,0.021973,0.0,4.5e-05,8.9e-05,0.0,0.0,4.1e-05,0.0,0.0,0.0,0.0,0.021972,3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7e-05,0.0,3.011034,0.0,0.0,4.944887,4e-05,-1e-06,0.0,0.0,0.0,0.0,-1e-06,0.988966,0.0
1754817,6692,0.26188755,91,33,75,-108,33,2.494893,0.0,0.0,2.494894,0.997958,1.496935,0.498979,0.00204,5.527554,0.498979,0.0,0.002038,0.498979,0.0,0.997958,1.1e-05,3.99183,1e-06,0.0,1.010194,0.0,2e-06,0.498979,2.496949,0.0,0.0,3.010187,0.0,0.0,0.498978,0.0,2.993878,0.006135,0.0,5.083594,0.0,0.0,0.0,0.0,0.0,15.010216,0.0,0.501019,0.498979,1.49694,0.998043,0.997981,2e-06,1.498977,0.0,0.0,0.0,0.498979,0.0,2.494894,0.0,0.0,0.503057,0.00204,0.0,0.0,0.997957,1.496937,0.505097,0.002041,0.498977,0.0,5.492847,0.0,0.0,0.498979,0.0,0.0,0.0,0.999998,0.0,2.4949,0.0,31.989793,0.997961,0.0,-7e-06,2e-06,0.0,0.0,0.002039,0.0,7.48468,0.0,0.498979,0.0,0.498979,0.002038,0.0,0.498982,0.004079,0.0,0.498979,0.997958,2.494894,0.0,0.498979,0.0,0.0,0.0,0.0,0.503056,3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.498978,0.0,3.002064,0.0,0.0,1.995915,0.498983,-1e-06,0.0,0.0,0.0,0.0,-1e-06,0.997954,0.0
1755959,7709,0.29423496,108,38,89,-127,38,0.0,0.0,0.0,1.333334,0.0,0.333332,0.0,0.0,7.333338,0.0,0.0,0.0,0.0,0.0,0.333333,16.666661,1.000003,1e-06,0.0,1.333334,0.0,1.000001,0.0,11.66667,0.666665,0.0,1.666664,0.0,0.0,0.0,0.0,1.666666,0.666667,0.0,25.666671,0.0,0.0,0.333332,0.0,4.666666,44.333331,0.0,0.666666,0.0,0.333331,1.333336,21.000001,2e-06,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2e-06,0.0,0.666667,0.0,0.0,0.0,5.999998,0.0,0.0,0.333333,0.0,0.0,0.333332,0.0,0.0,-3e-06,0.0,84.333324,0.0,0.0,0.333331,2e-06,0.333333,0.0,1e-06,2.333334,2.333331,0.0,0.0,0.0,0.333334,0.666669,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,-1e-06,0.0,0.666668,0.0,0.0,0.666666,2.666671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2e-06,0.0,1.333339,0.0,0.333333,0.0,0.333333,-1e-06,0.0,0.0,0.0,0.0,-1e-06,2.333334,0.0
1765042,11083,0.25815645,82,55,55,-110,55,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,1.333333,1.99999,0.0,0.0,5.333332,0.0,0.0,-2e-06,-1e-06,0.0,1e-06,0.0,0.0,0.0,2e-06,0.0,1.666663,1.000001,0.0,2.000001,0.0,0.0,0.0,0.0,0.333335,0.0,0.0,3.000008,0.0,0.0,0.0,0.0,0.0,20.000005,0.0,0.333334,0.0,1e-06,0.66667,2.000002,1.999999,0.666668,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666668,1.666668,0.0,0.0,0.0,0.0,2.000001,0.0,0.0,5.333334,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,8.000017,0.333333,0.0,0.333331,0.666667,0.0,0.0,0.666666,0.0,-3e-06,0.0,0.0,0.0,0.0,-2e-06,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,-1e-06,0.0,0.333334,0.0,0.0,1.666666,3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.333334,5.33334,0.0,0.0,0.0,0.0,-1e-06,0.0,0.0,0.0,0.0,-1e-06,2.000003,0.0
1766236,1336,0.34486315,135,6,132,-138,6,0.004863,0.0,0.0,0.999833,0.0,0.0,0.0,0.500084,3.999319,0.0,0.000335,0.0,0.000336,0.0,-2e-06,1.99967,1.49975,1e-06,0.0,0.499916,0.0,0.499918,0.0,4.999495,0.0,0.0,0.000503,0.0,0.0,1.499749,0.0,2.000671,1.0,0.0,53.023323,2.999497,0.0,0.0,0.0,0.499916,14.501777,0.0,0.0,0.000168,0.000337,0.499915,8.498909,0.000167,0.000167,0.0,0.0,0.0,0.0,0.0,0.000167,0.000335,0.0,0.0,0.0,0.0,0.499916,-2e-06,0.999832,0.999833,0.499914,3.499413,0.000168,1.000506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3e-06,0.0,37.004018,0.499916,0.0,0.000342,2e-06,0.499916,0.0,1e-06,0.0,0.000171,0.0,0.0,0.0,0.0,-2e-06,0.0,0.0,0.0,0.0,0.000167,0.0,0.0,0.000167,0.999834,0.000503,0.0,0.0,0.999833,0.499915,0.004694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2e-06,0.0,28.99631,4.499245,0.999832,0.0,18.996813,0.499915,0.0,0.0,0.0,0.0,1.499747,0.000505,0.0
1794661,468,0.41987494,67,2,66,-68,2,0.0,0.0,0.0,0.666666,0.0,2.000001,0.0,0.333332,5.333338,0.0,0.0,0.0,2.0,0.0,0.333333,-1e-06,1.333335,0.333335,0.0,0.0,0.0,2e-06,0.0,1.333334,2.0,0.0,0.666667,0.0,0.333334,1.0,0.0,0.666668,0.666667,0.0,11.666659,0.0,2.333333,0.0,0.0,0.0,24.000014,0.0,0.333334,0.0,0.666667,2.000002,2.666669,1.333333,0.0,0.0,0.0,0.666667,0.0,0.0,0.666667,1.333334,0.0,0.0,0.0,0.0,0.0,-2e-06,1.999999,0.0,0.333336,0.0,0.0,7.000005,0.0,0.333334,2.666667,0.666667,0.333333,0.0,2.666668,0.0,0.333333,0.0,44.333355,1.0,0.0,0.666669,0.666667,0.333333,0.0,1e-06,0.333334,4.666664,0.0,0.333333,0.0,0.333334,-2e-06,0.0,0.333334,0.0,0.0,0.333334,0.0,0.0,0.0,2.666671,0.0,0.666668,0.0,0.0,2.333333,0.66667,0.0,0.333333,0.0,0.0,0.0,0.333333,0.0,-2e-06,0.0,11.66667,0.0,0.0,2.666667,0.0,-1e-06,0.0,0.0,1.0,0.0,-1e-06,1.000002,0.0
