,BMU,Udist,Ret_x,Ret_y,Cub_x,Cub_y,Cub_z,B_AGB,B_AGP,B_AKL,B_ALA,B_AMS,B_ANK,B_ASM,B_ATH,B_ATL,B_AUS,B_BCN,B_BEG,B_BER,B_BHX,B_BIO,B_BJS,B_BKK,B_BLQ,B_BOM,B_BOS,B_BRE,B_BRU,B_BSL,B_BTS,B_BUD,B_BUE,B_BUH,B_BYU,B_CAI,B_CCS,B_CGN,B_CHI,B_CLT,B_CMB,B_CPH,B_CPT,B_DEL,B_DEN,B_DFW,B_DNK,B_DOH,B_DRS,B_DTM,B_DTT,B_DUB,B_DUR,B_DUS,B_DXB,B_EDI,B_ERF,B_FDH,B_FLR,B_FMO,B_FRA,B_FUK,B_GDN,B_GOA,B_GOJ,B_GOT,B_GRZ,B_GVA,B_HAJ,B_HAM,B_HEL,B_HKG,B_HKT,B_HOQ,B_HOU,B_IEV,B_INN,B_IST,B_IZM,B_JED,B_JKT,B_JNB,B_KLU,B_KMI,B_KMQ,B_KRK,B_KTW,B_KUL,B_LAS,B_LAX,B_LCA,B_LED,B_LEJ,B_LIS,B_LJU,B_LNZ,B_LON,B_LUX,B_LYS,B_MAD,B_MAN,B_MEL,B_MEX,B_MHG,B_MIA,B_MIL,B_MLA,B_MMA,B_MNL,B_MOW,B_MRS,B_MSP,B_MSY,B_MUC,B_NAP,B_NBO,B_NCE,B_NGO,B_NGS,B_NUE,B_NYC,B_OPO,B_ORL,B_OSA,B_OSL,B_PAD,B_PAR,B_PDX,B_PHL,B_PHX,B_PIT,B_PMI,B_POZ,B_PRG,B_RIO,B_RIX,B_ROM,B_RUH,B_SAN,B_SAO,B_SCL,B_SCN,B_SDL,B_SEA,B_SEL,B_SFO,B_SHA,B_SIN,B_SJC,B_SJJ,B_SKG,B_SOF,B_SSA,B_STO,B_STR,B_SYD,B_SZG,B_THR,B_TIP,B_TLS,B_TLV,B_TPE,B_TRN,B_TRS,B_TSR,B_TYO,B_VCE,B_VIE,B_VLC,B_VNO,B_VRN,B_WAS,B_WAW,B_WRO,B_YMQ,B_YOW,B_YTO,B_YVR,B_YYC,B_ZAG,B_ZRH,B_ZWS
1716902,1089,0.35277963,8,27,-5,-22,27,1.7e-05,8e-06,0.0,0.0,2.9e-05,0.0,0.0,0.297529,4e-06,0.0,3.458883,0.0,3.649664,1.903308,4e-06,4e-06,9e-06,2.182787,0.012196,0.148608,0.233951,2.761099,0.618703,0.0,15.245095,8e-06,0.001474,0.0,0.049151,0.0,4.726987,2.417117,0.678079,0.0,5.296549,0.0122,0.0,0.001853,0.0,0.0,0.0,1.577896,0.321555,0.012204,0.0,0.0,31.527154,0.185164,0.0,0.012196,0.297181,8e-06,0.024391,36.325336,4e-06,4e-06,0.0,0.0,0.467918,0.48234,0.341487,0.97307,4.239413,0.012208,0.297161,4e-06,0.012196,0.0,0.012196,0.0,0.049889,0.0,0.594305,0.012196,0.024391,0.0,0.0,0.0,0.148576,4e-06,0.048783,0.013306,0.172967,0.0,0.148944,1.001248,0.222158,3e-06,0.000372,3.029555,0.012196,0.321593,1.172588,0.791697,0.457924,0.048784,0.0,0.172981,3.47043,0.148576,8e-06,0.0,1.310821,0.012196,0.0,0.0,38.905954,0.012208,0.0,0.343726,0.012196,0.001105,0.335911,5.784923,4e-06,0.148944,0.000743,0.763458,4e-06,4.382258,0.0,0.726851,0.0,0.0,2.724466,0.0,0.744016,0.012212,0.0,0.457936,0.012196,0.0,0.048797,0.0,0.121958,0.0,4e-06,1.481936,1.516921,0.160771,0.195149,4e-06,0.148576,0.0,4e-06,0.0,0.963799,23.39353,5e-06,0.458661,0.0,0.0,0.0,0.445728,0.0,0.0,0.148576,0.0,0.518921,2.848667,7.679988,0.0,0.148576,0.109762,0.964209,2.165692,-1e-06,0.048812,4e-06,4.168238,2e-05,4e-06,0.000386,8.74036,2.663486
1717251,634,0.0,33,15,26,-41,15,0.004409,0.0,0.107419,0.000133,0.450972,0.000267,0.0,0.241111,0.004675,0.0,0.303637,0.0,0.220462,0.053844,0.0,7e-06,0.348267,3e-06,0.24071,-2e-06,0.058247,0.733581,1e-06,0.0,0.785201,0.004409,0.240975,0.0,0.000133,0.0,4.436839,0.700638,0.0,0.0,1.446431,0.0,0.000134,0.000136,0.0,0.0,0.0,0.059057,0.000269,0.000266,0.000268,0.0,1.609258,0.294553,0.0,0.0,0.000399,0.0,0.053844,7.166038,0.0,0.000133,0.004409,0.0,0.396998,0.000133,0.005076,0.246238,0.821336,0.000134,0.24111,0.004412,0.0,0.004675,0.000133,0.0,0.11276,0.0,0.0,0.000134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000134,0.249669,0.0,0.0,0.000266,0.0,0.48142,0.0,2.549772,0.0,0.004409,0.242309,0.000133,0.0,0.0,0.0,0.005376,0.254743,0.0,0.0,0.0,0.482089,1e-06,0.0,0.000133,5.540735,0.0,0.0,0.009086,0.0,0.0,0.004668,0.861464,0.0,0.000133,0.0,0.063459,0.008824,0.322608,0.0,0.0,0.0,0.0,0.053843,0.0,0.240977,0.0,0.000266,0.000532,0.0,0.0,0.001197,0.0,0.000268,0.0,0.0,0.0,0.967514,2e-06,0.963106,0.24071,0.004542,0.0,0.240714,0.0,0.4642,0.084433,0.000133,0.0,0.0,0.0,0.0,2e-06,0.0,1e-06,1e-06,0.0,0.240844,1e-05,3.840128,0.0,0.0,0.0,0.303373,0.240841,-1e-06,0.000266,0.0,0.0,0.000133,0.000133,0.008819,0.165802,0.0
1723185,188,0.27333862,27,4,25,-29,4,0.086671,0.0,0.0,0.0,1.137097,0.0,0.0,0.0,0.981083,0.964273,0.981083,0.017334,0.144549,0.017334,0.0,0.069336,0.0,0.017858,0.0,0.058816,-1e-06,1.23073,0.017335,0.0,3.5e-05,0.017858,0.832046,0.0,0.017335,0.0,0.035719,2.998931,0.018381,0.0,0.121886,0.0,0.0,8.583897,0.017334,0.0,0.0,0.0,0.0,0.0,0.000529,0.000524,0.191237,6e-06,0.000524,0.0,0.0,0.0,5e-06,13.284496,0.0,0.0,0.017334,0.0,0.017922,0.0,0.008381,6.1e-05,0.017865,2e-06,4.74994,0.000523,0.0,0.017334,0.0,0.0,0.020476,0.0,0.0,0.017334,0.034667,0.0,0.0,0.0,6e-06,0.0,0.0,0.964272,2.950063,0.0,0.0,0.017334,0.0,0.658904,0.0,1.242184,0.0,0.087194,0.017335,0.017334,0.001047,0.002094,0.0,0.966367,0.034669,0.0,0.0,0.0,-3e-06,0.001047,0.000524,1.893883,7.403467,0.0,0.0,0.981089,0.0,0.0,-7e-06,1.966372,0.0,0.964273,0.000528,1e-06,0.0,0.261064,0.002617,0.963767,0.001058,0.0,0.0,0.0,0.017368,0.000524,0.0,0.017858,6e-06,0.0021,1.913305,0.0,0.0,0.0,2.017869,0.0,20.058747,0.000523,8.535597,1.914352,2.9e-05,0.0,0.034669,0.0,0.053131,3e-06,0.020475,0.0,0.0,0.0,0.0,9.587592,0.946939,0.0,0.0,0.017334,1.89493,0.000523,1.163239,0.0,0.0,0.0,1.99893,0.034725,-1e-06,0.017858,0.0,5.696885,0.036238,0.0,2e-06,1.576214,0.0
1738392,399,0.14135255,38,9,34,-43,9,0.0,0.132076,0.0,0.988482,1.848176,7e-06,0.0,1.188705,0.000328,0.0,0.264171,3e-06,7.06935,0.000327,0.0,0.132407,0.989802,0.0,0.0,0.528313,0.000173,0.002962,0.002293,0.0,0.591954,0.132091,0.724342,0.0,0.264158,0.0,0.267606,0.136666,0.0,0.0,1.010846,0.13208,0.000981,0.132084,0.0,0.000655,0.0,0.146188,0.132076,0.000655,0.0,0.0,31.390721,0.13339,0.0,0.0,0.000995,0.0,0.132732,37.355314,0.0,7e-06,0.0,0.0,0.010842,0.591932,2.50537,0.592275,2.443245,0.000982,0.856103,4e-06,0.005893,0.0,0.724006,0.0,0.724679,0.0,0.0,0.592588,1.184188,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,8e-06,0.0,7e-06,0.135033,0.724005,0.000326,0.591925,28.663422,7e-06,0.0,0.132088,0.000328,0.132076,0.132405,0.0,1.448905,1.453177,0.0,0.0,0.000327,7.104938,0.0,0.0,0.0,17.941821,0.0,0.0,1.120573,0.0,0.0,0.132114,0.927597,0.0,0.0,0.000327,0.132426,4e-06,0.399273,0.0,0.132076,0.0,0.0,4e-06,0.0,0.133724,0.132076,3e-06,0.000331,0.0,0.0,1.059569,3e-06,7e-06,0.0,0.0,0.0,0.264156,0.132403,4.016927,0.0,4e-06,0.0,0.132077,0.0,1.056612,0.011199,0.591929,0.001321,0.591925,0.0,0.0,0.132076,0.0,1.5e-05,0.0,0.0,1.385379,0.132404,30.295643,0.0,0.0,0.000328,1.216942,0.001644,-1e-06,0.132076,0.000327,0.132076,0.0,4e-06,-1e-06,3.630429,0.0
1749270,669,0.0894888,28,16,20,-36,16,0.936924,0.0,7e-06,0.0,0.010733,0.0,0.0,0.0,0.947333,0.936611,3.769463,0.0,1.042899,0.94733,0.0,0.010404,0.021496,0.0,0.0,3e-06,0.950788,0.036278,1e-06,0.0,0.010404,0.0,2e-06,0.0,0.0,0.0,1.029932,3.882698,0.0,0.0,0.252556,0.01072,4e-06,0.011036,0.000314,0.0,0.0,0.01041,4e-06,0.104363,0.0,0.010405,1.121961,4e-06,0.0,0.0,0.010405,0.010405,0.010719,29.701982,0.0,0.0,0.010405,0.0,0.95742,0.0,0.000644,4.898394,0.073202,0.011666,0.0,0.010405,0.0,0.0,0.0,0.0,0.020812,0.0,0.0,0.0,1.966866,0.0,0.0,0.010405,0.0,0.0,0.0,0.010725,0.968514,0.0,0.0,3e-06,0.0,0.000315,0.0,0.105425,0.0,0.000315,1.883979,0.052034,0.010405,3.746443,0.0,0.010718,0.041937,0.0,0.0,0.0,-3e-06,0.0,0.0,0.010719,23.818403,0.000314,0.0,0.947333,0.010404,0.0,0.228912,0.041981,0.0,0.0,0.0,0.001271,0.93724,0.066861,0.0,0.010405,4e-06,0.011033,0.0,0.0,0.114456,1.873222,0.0,0.000642,0.0,0.0,0.999047,0.0,0.0,0.0,3e-06,4e-06,0.969117,0.947017,0.062437,0.000314,0.0,0.0,0.0,0.0,0.08356,0.156391,3e-06,0.000315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.228918,0.0,0.04363,0.936611,0.0,0.0,0.075751,0.0,-1e-06,0.0,0.0,3.756849,3e-06,4e-06,0.936612,0.368271,0.010405
1754817,467,0.18660356,26,11,21,-32,11,2.2e-05,0.0,3e-06,0.0013,0.261746,0.000324,0.00486,0.0,0.141442,7e-06,1.7e-05,0.0,3.481076,7e-06,0.0,0.0,2.092212,7e-06,0.0,0.759719,1.1e-05,0.021813,1e-06,0.0,0.000324,3e-06,6e-06,0.0,0.000323,0.0,0.748992,6.535272,2.9e-05,0.0,0.544956,0.0,0.000324,1.130411,0.010728,0.0,0.0,0.0,0.0,0.001951,4e-06,0.010729,0.990502,4e-06,3e-06,0.0,5e-06,0.000325,0.130705,22.476452,0.0,0.0,4e-06,0.0,1e-05,0.0,0.565389,1.480983,0.664247,0.021456,0.130706,0.010729,0.0,1.5e-05,0.0,0.0,0.000651,0.0,0.0,0.0,0.003894,0.0,0.0,0.0,0.0,0.0,0.0,0.141778,4.65047,0.0,0.0,0.130706,0.0,3e-06,0.0,0.677051,0.0,4e-06,1.5e-05,0.914915,0.011056,0.000677,0.0,0.010757,0.392119,0.0,0.0,0.000324,-3e-06,7e-06,4e-06,0.141442,6.380656,0.0,0.000648,1.1e-05,0.000324,0.0,2.744748,2.134919,0.0,7e-06,0.131361,0.392107,0.010733,0.523845,0.032193,0.392117,0.402839,0.0,0.0,0.0,0.000324,0.000335,0.0,0.010732,0.0,0.130716,4.8e-05,0.0,0.0,0.0,1.413895,0.58577,13.070363,7e-06,0.404463,0.01106,0.0,0.0,0.0,0.0,0.523479,0.001942,2.1e-05,0.0,0.0,0.0,0.0,0.010739,4e-06,0.0,0.0,0.0,1.567544,0.0,0.445771,4e-06,1.4e-05,0.0,3.779831,0.0,-1e-06,1.1e-05,0.000648,0.393432,0.59683,0.585766,0.000328,0.347574,0.0
1755959,555,0.04048249,34,13,28,-41,13,0.0,0.0,0.014004,0.000423,0.099312,0.170611,0.0,0.262921,0.085517,0.0,0.014012,3e-06,0.958443,0.630331,0.0,0.0,1.267874,3e-06,0.007002,0.000427,0.092417,0.318947,1e-06,0.0,0.821963,2e-06,0.007431,0.0,0.085306,0.0,1.285412,0.178049,0.0,0.0,2.289076,0.0,0.0,0.085517,0.0,0.0,0.0,0.525852,3e-06,0.000423,7e-06,0.0,1.580182,0.014216,0.0,0.0,0.01401,0.0,0.630543,5.806912,0.0,0.007004,2e-06,0.0,0.092311,0.085306,0.25592,1.615897,2.804893,2e-06,0.341222,7e-06,0.0,0.085728,0.085517,0.0,1.772488,0.0,0.0,0.085306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.085304,0.255919,0.0,0.0,0.014219,0.0,0.014006,0.0,1.597157,0.0,3e-06,0.007007,3e-06,0.0,0.0,0.0,0.197132,0.263141,0.0,0.0,0.0,0.440531,2e-06,0.0,2e-06,12.65796,0.0,0.0,0.000855,0.0,0.0,0.000221,0.801375,0.0,0.000212,0.0,0.672346,5e-06,0.362254,0.0,0.000211,0.0,0.0,0.715632,0.0,0.014011,0.0,0.085308,0.0,0.0,0.0,0.085321,0.0,0.17061,0.0,0.0,0.0,0.51226,0.0,0.341652,0.085306,0.170611,0.0,0.007221,0.0,0.717333,1.12301,0.0,0.0,0.0,0.0,0.0,0.000211,0.0,3e-06,2e-06,0.0,0.170612,1.6e-05,1.216771,0.0,0.0,3e-06,0.36392,0.092308,-1e-06,0.000423,0.0,0.000211,0.000211,0.007002,0.170611,0.653489,0.0
1765042,753,0.05429831,32,18,23,-41,18,0.304815,0.0,0.000337,0.0,0.311571,0.0,0.0,0.00558,0.304646,2e-06,1.22484,0.0,3.784794,0.000173,0.0,0.028067,0.00693,0.005579,0.00558,-2e-06,0.000845,0.915951,1e-06,0.0,0.665425,0.304644,0.005581,0.0,0.0,0.0,3.757226,0.762664,0.0,0.0,0.406643,0.0,0.304643,0.011159,0.0,0.0,0.0,0.079639,0.317489,0.0,0.000337,0.0,33.41778,0.005748,0.0,0.000169,0.000168,0.0,0.00017,36.766721,0.0,0.0,0.067975,0.0,0.005752,0.0,0.914269,1.687235,4.310884,0.304815,0.005749,0.067975,0.0,0.0,0.0,0.0,0.304817,0.0,0.0,0.0,4e-06,0.0,0.0,2e-06,0.0,0.0,0.000168,0.005578,0.028407,0.0,0.0,0.002358,0.0,0.011158,0.0,10.819106,0.0,0.304644,3.362921,0.000171,0.0,7e-06,0.0,0.304982,0.344713,0.0,0.0,0.0,0.011165,0.0,0.0,0.000168,46.571075,0.0,0.0,0.67777,0.0,0.0,0.068315,2.147883,0.0,0.0,0.0,0.913934,0.631609,2.749567,0.0,0.0,0.0,0.000339,2e-06,0.0,0.310222,4e-06,0.000169,1.21925,0.0,0.0,0.610301,0.0,0.0,0.0,0.0,0.0,0.000677,0.011161,0.006423,0.000169,0.0,0.0,0.00558,0.0,0.818969,2.437846,0.304644,0.0,0.0,0.0,0.0,0.00558,0.0,0.0,0.0,0.0,0.000188,0.0,11.770741,2e-06,0.0,0.0,0.001188,0.005576,-1e-06,0.000168,0.0,0.000344,0.0,0.0,2e-06,3.460718,0.000339
1766236,953,0.15821648,32,23,21,-44,23,8e-06,0.000334,0.0,0.0,1.369632,0.0,0.0,0.585848,0.000324,0.0,0.261812,0.0,18.353647,7e-06,0.130576,0.196191,0.784441,0.010719,0.0,1.3e-05,1.615724,5.856213,1e-06,0.0,0.205615,3e-06,2e-06,0.0,0.0,0.0,6.719949,0.285545,3e-06,0.0,0.028233,0.0,0.000324,0.152013,0.0,0.0,0.0,3.612022,5.513053,0.0,4e-06,0.0,9.130599,4e-06,0.5852,0.130608,0.0,0.5852,2.994862,25.382523,0.0,0.0,0.0,0.0,0.000647,0.0,0.001036,6.550762,9.353947,0.716098,0.011042,0.0,0.0,0.0,0.0,0.000324,0.000648,0.0,0.0,0.0,0.130579,0.0,0.0,0.0,0.0,0.0,0.130899,0.011044,0.314743,0.0,0.0,4.62719,1.18112,0.0,0.000323,9.445201,4e-06,1.5e-05,0.547307,0.0,0.130576,5e-06,0.0,3e-06,0.065609,0.0,0.0,0.0,0.002265,4e-06,0.0,0.0,24.797939,0.0,0.0,0.131562,0.0,0.0,10.281463,2.874333,0.0,0.0,0.130578,0.000332,0.076683,1.384605,0.0,0.0,0.0,1.1e-05,0.000324,0.0,0.130898,0.0,0.0,0.847977,0.0,0.0,0.000648,0.0,0.0,0.0,0.0,0.000323,0.392063,0.032813,0.534326,0.0,0.0,0.010718,0.0,0.0,0.001627,0.262473,0.000323,0.0,0.0,0.0,0.0,0.010718,0.0,0.0,0.0,0.0,0.000325,1.1704,1.730934,0.0,0.0,0.000323,0.000676,0.000326,-1e-06,0.715776,0.0,0.846677,0.0,0.0,-1e-06,0.017246,0.261151
1794661,1029,0.2013956,28,25,16,-41,25,6e-06,0.174277,0.0,5e-06,1.580346,0.0,0.0,0.188587,0.0,0.0,0.797097,0.0,28.609244,0.02861,0.014737,1.478608,0.526302,0.000864,0.0,0.014319,1.562552,1.74294,1.562543,0.0,0.014339,0.0,2e-06,0.0,0.0,0.0,4.400973,2.119397,0.781918,0.0,4.563433,0.0,0.000433,0.014751,0.0,5e-06,0.0,1.623241,0.0876,0.0,0.781055,0.0,14.484967,0.0,0.781059,0.0,0.0,0.000437,0.014777,58.265293,0.0,0.0,0.0,0.0,0.782062,0.000432,0.000449,1.619823,7.077954,0.016483,0.17514,0.0,0.0,0.0,0.0,0.174277,0.014305,0.0,0.0,0.0,0.042917,0.0,0.0,0.0,0.0,0.0,0.31906,0.174277,0.014739,0.0,0.0,1.108954,0.000445,0.0,0.174277,24.682785,5e-06,5.469974,0.015616,0.78235,0.014306,0.0,0.781054,0.000431,0.393201,0.005616,0.0,0.0,1.041158,0.0,0.0,0.0,4.393478,0.0,0.0,0.029048,0.014737,0.0,4.09463,0.819647,0.001296,0.0,0.02861,0.782352,2.5e-05,13.688067,0.0,0.0,0.0,1.4e-05,0.174277,0.0,1.577283,0.0,0.0,0.015616,0.0,0.000869,0.014307,0.0,0.0,0.0,0.000436,0.174277,0.07289,1.130064,0.782938,0.0,0.0,0.0,0.000433,0.0,2.402574,2.57812,0.0,0.0,0.0,0.0,0.0,4e-06,0.0,0.0,4.3e-05,0.0,0.191248,1e-05,4.91931,0.0,0.014311,0.0,0.365053,2.371787,-1e-06,0.000437,0.0,0.203781,5e-06,0.0,3.124219,0.941472,0.000864
